Type	n_val	rv_val	RV	RN	RE	IRN	IRE
er	50	2	2.2919914226543248	2.9962495136368146	2.9459999999999993	3.4299167302164433	3.7199999999999998
ba	50	2	1.9600000000000002	5.612071795172492	4.410204081632653	6.283876099826101	7.143537414965989
er	50	3	3.1242615701846574	3.886552939773964	3.8631111111111114	4.427854816939697	4.746666666666668
ba	50	3	1.9600000000000002	6.061897304819364	4.643537414965987	6.734193506493509	7.627891156462584
er	50	5	5.017006802721088	5.906487518037519	5.877066666666666	6.70535894611813	7.064266666666667
ba	50	5	3.8400000000000007	7.23559614361516	6.409375	8.317568365893369	9.458333333333334
er	50	10	10.0	10.764989507562724	10.7356	11.947955974580973	12.254133333333334
ba	50	10	9.0	12.355903402526314	11.848740740740741	14.34524538071205	15.758962962962963
er	50	20	20.0	20.61734577477601	20.5898	22.283741284684307	22.5376
ba	50	20	16.0	19.31701061931222	18.82991666666667	22.197505210202984	23.507333333333335
er	75	2	2.3009440438311657	2.972608124685267	2.941777777777778	3.4016745667954638	3.6893333333333334
ba	75	2	1.9733333333333338	6.039586994545626	4.755405405405406	6.7030936723770065	7.779729729729731
er	75	3	3.114044583562804	3.948573647053276	3.911904761904762	4.5078213442469455	4.856845238095238
ba	75	3	1.9733333333333338	6.062550078751756	4.768918918918919	6.7363865307531965	7.813513513513514
er	75	5	5.020483442346458	5.925379227007994	5.892691622103388	6.717227005333625	7.083778966131907
ba	75	5	3.8933333333333326	7.86484717420633	6.958219178082191	8.998784346322944	10.466666666666667
er	75	10	10.0	10.893116987339049	10.878933333333332	12.144047340713028	12.527644444444444
ba	75	10	9.333333333333334	13.68462457499099	13.082857142857144	15.890760827413482	17.886666666666667
er	75	20	20.0	20.73539664164806	20.7148	22.54190442339463	22.86413333333333
ba	75	20	17.33333333333333	21.820365936135303	21.33794871794872	25.230395033884246	27.326205128205125
er	100	2	2.3184521564830805	3.019981460792098	2.9939999999999998	3.459275600238375	3.7690000000000006
ba	100	2	1.9799999999999993	6.279009533469406	4.917845117845118	6.9560176412911705	8.085521885521887
er	100	3	3.1448472656102604	3.9768178616230734	3.9626666666666663	4.547447052680294	4.923111111111112
ba	100	3	1.9799999999999993	6.272002441502021	4.986868686868687	6.9522311933436916	8.217171717171716
er	100	5	5.020306154326773	5.91210069552903	5.894533333333333	6.699757343682232	7.0641333333333325
ba	100	5	3.9200000000000004	8.541929414031664	7.4438775510204085	9.71500407050294	11.400170068027212
er	100	10	10.0	10.912311611079842	10.892866666666668	12.179600311262814	12.562666666666669
ba	100	10	9.5	14.641628428556361	13.913403508771932	16.95469599347541	19.337192982456138
er	100	20	20.0	20.761002668169446	20.744466666666664	22.592001923421353	22.929299999999998
ba	100	20	18.0	23.401284366201697	22.903666666666666	27.095218233332435	29.801777777777776
